time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-31T16:43:43.780Z,19.4204998,-155.2575073,1.12,2.97,ml,15,139,0.004107,0.14,hv,hv70503557,2018-07-31T16:49:24.190Z,"2km WSW of Volcano, Hawaii",earthquake,0.45,0.24,0.45,13,automatic,hv,hv
2018-07-31T16:42:29.370Z,19.395834,-155.2636719,0.22,3.58,ml,16,68,0.003271,0.2,hv,hv70503552,2018-07-31T18:46:13.446Z,"4km SW of Volcano, Hawaii",earthquake,0.28,0.31,0.4,13,automatic,hv,hv
2018-07-31T16:40:04.970Z,19.4141667,-155.2765,0.82,3.66,ml,25,48,0.007969,0.09,hv,hv70503547,2018-07-31T18:43:47.791Z,"4km WSW of Volcano, Hawaii",earthquake,0.15,0.13,0.178,44,reviewed,hv,hv
2018-07-31T16:37:57.080Z,19.4333324,-155.2554932,0.25,2.82,ml,7,225,0.01146,0.06,hv,hv70503542,2018-07-31T16:43:38.540Z,"1km W of Volcano, Hawaii",earthquake,0.46,0.55,0.38,14,automatic,hv,hv
2018-07-31T16:36:43.460Z,19.3929996,-155.2633362,-0.24,2.83,ml,37,35,0.005803,0.36,hv,hv70503537,2018-07-31T16:42:23.340Z,"4km SSW of Volcano, Hawaii",earthquake,0.27,0.25,2.49,30,automatic,hv,hv
2018-07-31T16:36:27.640Z,19.4108334,-155.2785034,-0.74,2.85,ml,27,40,0.008603,0.3,hv,hv70503532,2018-07-31T16:42:08.890Z,"4km WSW of Volcano, Hawaii",earthquake,0.17,0.3,2.46,30,automatic,hv,hv
2018-07-31T16:32:44.100Z,19.4025002,-155.2628326,-0.11,2.78,ml,25,60,0.005202,0.26,hv,hv70503527,2018-07-31T16:38:24.600Z,"4km SW of Volcano, Hawaii",earthquake,0.26,0.3,0.46,18,automatic,hv,hv
2018-07-31T16:31:53.680Z,19.3876667,-155.2753296,-0.04,2.68,ml,21,61,0.006133,0.25,hv,hv70503522,2018-07-31T16:37:34.360Z,"6km SW of Volcano, Hawaii",earthquake,0.29,0.25,0.36,15,automatic,hv,hv
2018-07-31T16:31:27.120Z,19.4226665,-155.2746735,1.39,2.6,ml,14,84,0.003446,0.19,hv,hv70503517,2018-07-31T16:37:07.380Z,"3km WSW of Volcano, Hawaii",earthquake,0.4,0.26,0.33,10,automatic,hv,hv
2018-07-31T16:27:26.310Z,19.3924999,-155.2904968,0.47,3.19,ml,29,62,0.004132,0.35,hv,hv70503502,2018-07-31T16:33:07.790Z,"6km SW of Volcano, Hawaii",earthquake,0.35,0.26,2.71,13,automatic,hv,hv
2018-07-31T16:27:08.210Z,19.4099998,-155.2879944,0.91,2.83,ml,29,61,0.008463,0.32,hv,hv70503497,2018-07-31T16:32:48.380Z,"5km WSW of Volcano, Hawaii",earthquake,0.41,0.2,3.05,27,automatic,hv,hv
2018-07-31T16:26:36.180Z,19.3841667,-155.2779999,0.82,2.57,ml,28,66,0.004223,0.26,hv,hv70503492,2018-07-31T16:32:18.910Z,"6km SW of Volcano, Hawaii",earthquake,0.25,0.32,0.49,22,automatic,hv,hv
2018-07-31T16:17:13.810Z,19.413166,-155.2861633,0.4,2.47,ml,21,67,0.004879,0.16,hv,hv70503442,2018-07-31T16:22:53.410Z,"5km WSW of Volcano, Hawaii",earthquake,0.2,0.12,0.34,17,automatic,hv,hv
2018-07-31T16:11:36.730Z,19.4101658,-155.2811737,0.32,2.6,ml,31,28,0.007951,0.23,hv,hv70503427,2018-07-31T16:17:16.250Z,"5km WSW of Volcano, Hawaii",earthquake,0.18,0.16,2.21,19,automatic,hv,hv
2018-07-31T16:02:52.060Z,19.4011669,-155.2738342,1.4,2.72,ml,37,46,0.005771,0.2,hv,hv70503397,2018-07-31T16:08:34.870Z,"5km SW of Volcano, Hawaii",earthquake,0.32,0.22,1.92,26,automatic,hv,hv
2018-07-31T16:00:52.370Z,19.4121666,-155.3136597,-1.12,2.53,ml,15,149,0.02297,0.34,hv,hv70503377,2018-07-31T16:06:33.300Z,"8km WSW of Volcano, Hawaii",earthquake,0.41,0.59,0.37,11,automatic,hv,hv
2018-07-31T15:53:22.980Z,19.4118328,-155.2591705,0.5,2.46,ml,31,47,0.0007132,0.28,hv,hv70503352,2018-07-31T15:59:04.820Z,"3km SW of Volcano, Hawaii",earthquake,0.36,0.25,0.44,21,automatic,hv,hv
2018-07-31T15:50:36.610Z,19.4211674,-155.264328,1.25,2.54,ml,16,75,0.003699,0.18,hv,hv70503337,2018-07-31T15:56:16.080Z,"2km WSW of Volcano, Hawaii",earthquake,0.27,0.25,0.4,16,automatic,hv,hv
2018-07-31T15:19:32.390Z,19.3961658,-155.2980042,0.55,2.59,ml,13,87,0.007205,0.2,hv,hv70503247,2018-07-31T15:25:13.550Z,"7km WSW of Volcano, Hawaii",earthquake,0.29,0.2,0.43,21,automatic,hv,hv
2018-07-31T15:19:07.560Z,19.3964996,-155.2803345,1.59,2.6,ml,9,167,0.006416,0.11,hv,hv70503242,2018-07-31T15:24:48.700Z,"5km SW of Volcano, Hawaii",earthquake,0.54,0.37,0.42,20,automatic,hv,hv
2018-07-31T15:11:28.640Z,19.3978329,-155.2741699,1.22,2.75,ml,38,44,0.002502,0.23,hv,hv70503217,2018-07-31T15:17:09.670Z,"5km SW of Volcano, Hawaii",earthquake,0.32,0.2,0.36,21,automatic,hv,hv
2018-07-31T15:07:25.470Z,19.3976669,-155.2618408,0.1,2.45,ml,28,45,0.003997,0.27,hv,hv70503212,2018-07-31T15:13:05.300Z,"4km SW of Volcano, Hawaii",earthquake,0.22,0.25,0.39,14,automatic,hv,hv
2018-07-31T15:01:01.650Z,19.4011669,-155.2681732,-0.36,2.92,ml,49,36,0.003543,0.34,hv,hv70503197,2018-07-31T15:06:42.510Z,"4km SW of Volcano, Hawaii",earthquake,0.2,0.22,2.81,33,automatic,hv,hv
2018-07-31T14:57:09.970Z,19.3931675,-155.279007,0.92,2.49,ml,15,57,0.005516,0.14,hv,hv70503182,2018-07-31T15:02:52.840Z,"6km SW of Volcano, Hawaii",earthquake,0.27,0.28,0.51,12,automatic,hv,hv
2018-07-31T14:53:52.400Z,19.4021664,-155.2879944,0.96,2.67,ml,23,39,0.01217,0.32,hv,hv70503177,2018-07-31T14:59:33.600Z,"6km WSW of Volcano, Hawaii",earthquake,0.32,0.37,0.31,15,automatic,hv,hv
2018-07-31T14:50:31.220Z,19.3983326,-155.272995,1.56,3.26,ml,50,32,0.003012,0.21,hv,hv70503167,2018-07-31T14:56:12.990Z,"5km SW of Volcano, Hawaii",earthquake,0.26,0.19,3.39,35,automatic,hv,hv
2018-07-31T14:46:53.380Z,19.4405003,-155.2966614,-1.14,3.11,ml,15,91,0.02011,0.3,hv,hv70503157,2018-07-31T14:52:34.500Z,"6km W of Volcano, Hawaii",earthquake,0.46,0.47,0.45,6,automatic,hv,hv
